date,is_known,is_EU,country,duration_sec,analysis_period,trigger_48h,trigger_7d,trigger_1M
2024-06-29 16:21:38,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:21:54,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:22:22,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:22:52,True,True,DE,117,Baseline (Pre-Audit),False,False,False
2024-06-29 16:53:20,True,True,DE,32,Baseline (Pre-Audit),False,False,False
2024-06-29 22:24:02,True,True,DE,17,Baseline (Pre-Audit),False,False,False
2024-06-30 20:59:59,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-30 21:07:33,True,True,DE,92,Baseline (Pre-Audit),False,False,False
2024-06-30 21:30:13,True,True,DE,5,Baseline (Pre-Audit),False,False,False
2024-07-01 15:44:17,True,True,DE,27,Baseline (Pre-Audit),False,False,False
2024-07-01 16:24:40,True,True,DE,52,Baseline (Pre-Audit),False,False,False
2024-07-01 17:49:25,True,True,DE,2,Baseline (Pre-Audit),False,False,False
2024-07-01 17:50:00,True,True,DE,16,Baseline (Pre-Audit),False,False,False
2024-07-01 18:21:08,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-07-01 19:30:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-07-01 19:56:41,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-07-01 20:05:49,True,True,DE,22,Baseline (Pre-Audit),False,False,False
2024-07-03 12:29:25,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-07-03 18:29:12,True,True,DE,38,Baseline (Pre-Audit),False,False,False
2024-07-04 13:14:03,True,True,DE,2,Baseline (Pre-Audit),False,False,False
2024-07-04 14:08:02,True,True,DE,3356,Baseline (Pre-Audit),False,False,False
2024-07-04 17:11:08,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-07-04 17:11:15,True,True,DE,24,Baseline (Pre-Audit),False,False,False
2024-07-05 20:14:37,True,True,DE,84,Baseline (Pre-Audit),False,False,False
2024-07-05 20:16:30,True,True,DE,69,Baseline (Pre-Audit),False,False,False
2024-07-05 20:22:20,True,True,DE,18,Baseline (Pre-Audit),False,False,False
2024-07-06 12:54:05,True,True,DE,408,Baseline (Pre-Audit),False,False,False
2024-07-07 14:40:20,True,True,DE,28,Baseline (Pre-Audit),False,False,False
2024-07-08 17:50:23,True,True,DE,129,Baseline (Pre-Audit),False,False,False
